nombre,fecha,facturada
"C-1-697 HCL 323 U.B. 1330 BOXTER, REV. ELECTRICA..pdf",2024-06-20 11:06:36,False
C-1-698 - MLI 741- 2006  MANT. PREVENT..pdf,2024-06-20 11:07:40,False
C-1-701  CZY 916- 0820  MANG. RADIADOR.pdf,2024-06-20 10:39:37,False
C-1-780 HAW 861 1309 COMPRESOR AIRE...pdf,2024-06-20 11:06:03,False
C-1-821- HCL 323 U.B. 1330  FUGA HIDRAULICO...pdf,2024-03-12 11:37:38,False
C-1-848 - MLI 741- 2006  ARREGLO CAPOT.pdf,2024-04-25 11:39:00,False
C-1-851 HAW 861 1309 REV Y ARREGLO RDAS TRAS Y DELANT. M1.pdf,2024-04-27 10:52:21,False
C-1-852  MAU 581 1213- BASE AMORTIGUADOR.pdf,2024-05-02 14:54:01,False
C-1-853 - MLI 741- 2006  BOMBA SUPERIOR EMBRAGUE..pdf,2024-05-02 15:05:41,False
C-1-854- HCL 323 U.B. 1330  CORTO INST. ELECTRICA..pdf,2024-05-02 16:14:39,False
C-1-863 - MLI 741- 2006  SINCRONIZACION DE MOTOR.pdf,2024-05-25 13:27:56,False
C-1-869  MAU 581 1213- DESVARADA Y REP. CORTO..pdf,2024-05-31 10:41:39,False
C-1-872 MAU 591-1215 REPARACIÓN ALTERNADOR..pdf,2024-06-01 12:36:00,False
C-1-873- ROK 019-1201 REPARACIÓN ALTERNADOR..pdf,2024-06-13 17:14:12,False
C-1-874 HCL 323 -1330 CILINDROS TRAS. VENTIL. A.A..pdf,2024-06-18 10:22:06,False
"C-1-875  HAW 861 1309  INYECTORES, REV. ELECTRICA...pdf",2024-06-17 16:55:56,False
"C-1-877  MAU 581 1213- VENTILADOR MOTOR, POLEA Y CORREA..pdf",2024-06-18 17:04:28,False
C-1-878- ROK 019-1201 TAPA BOVEDA Y CORREA ACCE...pdf,2024-06-18 17:00:08,False
C-1-882 MAU 591-1215 MTO PREVENTIVO..pdf,2024-06-20 15:59:49,False
C-1-883 HCL 323 -1330 MANTMTO. PREVENTIVO..pdf,2024-06-20 15:58:19,False
C-1-884 HAW 861 1309 SENSOR DEL CIGUEÑAL..pdf,2024-06-21 16:36:05,False
C-1-885  MAU 581 1213- REVISION SISTEMA ELECTRICO.pdf,2024-06-20 17:35:02,False
C-1-886 DOZ739-1449 REVISION REPARACION CHAPA PUERTA IZQ.pdf,2024-06-21 11:14:17,False
